shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
21-U1-j22-24.1.H,48.1792771149794,16.3761759711886,40,5083.49
21-U1-j22-24.1.H,48.1819900869843,16.3750878418848,41,5395.76
21-U1-j22-24.1.H,48.1843911088639,16.37422887281,42,5670.23
21-U1-j22-24.1.H,48.1861530963977,16.3739049403185,43,5867.62
21-U1-j22-24.1.H,48.1865667075897,16.3737819609561,44,5914.51
21-U1-j22-24.1.H,48.1870902150291,16.3736119098728,45,5974.07
21-U1-j22-24.1.H,48.1871926879451,16.3735552261784,46,5986.21
21-U1-j22-24.1.H,48.1910021274228,16.3714499344782,47,6437.64
21-U1-j22-24.1.H,48.1930261793144,16.3707249042123,48,6669.03
21-U1-j22-24.1.H,48.193787476168,16.3703405151022,49,6758.35
21-U1-j22-24.1.H,48.1942761182318,16.3700939275567,50,6815.68
21-U1-j22-24.1.H,48.1948521829149,16.3697169046319,51,6885.56
21-U1-j22-24.1.H,48.1958951908275,16.3687899330901,52,7020.37
21-U1-j22-24.1.H,48.1968130896873,16.3679429116085,53,7140.19
21-U1-j22-24.1.H,48.197056079535,16.3678219085398,54,7168.66
21-U1-j22-24.1.H,48.197505110723,16.367700905471,55,7219.39
21-U1-j22-24.1.H,48.1979101874888,16.3676878798993,56,7264.45
21-U1-j22-24.1.H,48.1986121932079,16.367836910405,57,7343.28
21-U1-j22-24.1.H,48.1989352299672,16.3679709390454,58,7380.55
21-U1-j22-24.1.H,48.1995651308201,16.3682139333298,59,7452.87
21-U1-j22-24.1.H,48.2012243316331,16.3690131644382,60,7646.64
21-U1-j22-24.1.H,48.2021371056728,16.3694528897698,61,7753.24
21-U1-j22-24.1.H,48.2041152159075,16.3703418625751,62,7982.85
21-U1-j22-24.1.H,48.2044561790956,16.3704499299038,63,8021.60
21-U1-j22-24.1.H,48.2048971827254,16.3705039186524,64,8070.80
21-U1-j22-24.1.H,48.2054281063046,16.3705049067992,65,8129.84
21-U1-j22-24.1.H,48.2059672263868,16.3705179323708,66,8189.79
21-U1-j22-24.1.H,48.2065792001296,16.3706128842964,67,8258.20
21-U1-j22-24.1.H,48.2070280879795,16.3707879659453,68,8309.78
21-U1-j22-24.1.H,48.2074691293318,16.3710709352598,69,8363.11
21-U1-j22-24.1.H,48.2078741273098,16.3714209188946,70,8415.08
21-U1-j22-24.1.H,48.2080790496785,16.3716257347794,71,8442.46
21-U1-j22-24.1.H,48.2083862221636,16.371932868775,72,8483.50
21-U1-j22-24.1.H,48.2096451850538,16.3734538962143,73,8663.23
21-U1-j22-24.1.H,48.2104362265499,16.3744638720884,74,8778.72
21-U1-j22-24.1.H,48.2108852003195,16.3751368898994,75,8849.28
21-U1-j22-24.1.H,48.2111730802294,16.3757159439316,76,8902.82
21-U1-j22-24.1.H,48.211370207294,16.3762399312369,77,8947.40
21-U1-j22-24.1.H,48.2116040889218,16.3769808616833,78,9008.15
21-U1-j22-24.1.H,48.2117931928406,16.3776397759443,79,9061.31
21-U1-j22-24.1.H,48.211897711516,16.3780792317814,80,9095.89
21-U1-j22-24.1.H,48.2120171953762,16.3785819290144,81,9135.44
21-U1-j22-24.1.H,48.2123311085581,16.3797528829874,82,9228.96
21-U1-j22-24.1.H,48.2125021916293,16.3802778584396,83,9272.26
21-U1-j22-24.1.H,48.2126281989141,16.3806008926158,84,9299.99
21-U1-j22-24.1.H,48.2127542058889,16.3808699380434,85,9324.36
21-U1-j22-24.1.H,48.21388609977,16.3829968791419,86,9526.05
21-U1-j22-24.1.H,48.2152672769076,16.3855014719859,87,9766.93
21-U1-j22-24.1.H,48.2161061768784,16.3870228587513,88,9913.25
21-U1-j22-24.1.H,48.2169861840376,16.3888938698253,89,10082.93
21-U1-j22-24.1.H,48.2173812306251,16.3896079406448,90,10151.69
21-U1-j22-24.1.H,48.2178400793955,16.3901598655554,91,10217.08
21-U1-j22-24.1.H,48.2183161022174,16.3906319302373,92,10280.52
21-U1-j22-24.1.H,48.2187841002217,16.391169931261,93,10346.07
21-U1-j22-24.1.H,48.2190822304963,16.3916179210933,94,10392.98
21-U1-j22-24.1.H,48.2191341233019,16.39169589486,95,10401.15
21-U1-j22-24.1.H,48.2194491899102,16.3923149239223,96,10458.86
21-U1-j22-24.1.H,48.2199870850508,16.3936339202542,97,10573.43
21-U1-j22-24.1.H,48.2206792119761,16.3951828852988,98,10711.61
21-U1-j22-24.1.H,48.2215872103744,16.3968389295253,99,10870.50
21-U1-j22-24.1.H,48.2224131990143,16.3983738808515,100,11016.67
21-U1-j22-24.1.H,48.2227810921351,16.3992499179167,101,11093.38
21-U1-j22-24.1.H,48.2232662258244,16.400326908111,102,11189.69
21-U1-j22-24.1.H,48.2237108977432,16.4011561429499,103,11268.55
21-U1-j22-24.1.H,48.2253241924859,16.4041648703314,104,11554.66
21-U1-j22-24.1.H,48.2291993153352,16.4113570519916,105,12239.87
21-U1-j22-24.1.H,48.2291993102163,16.4113570497071,106,12239.87
21-U1-j22-24.1.H,48.2301650829853,16.4131499073512,107,12410.66
21-U1-j22-24.1.H,48.2304712253786,16.4135939445961,108,12457.99
21-U1-j22-24.1.H,48.2308391802608,16.4139309026592,109,12505.92
21-U1-j22-24.1.H,48.2317021793642,16.4146588973655,110,12615.99
21-U1-j22-24.1.H,48.2321072250272,16.4151039227572,111,12671.80
21-U1-j22-24.1.H,48.2325472126426,16.4158989317837,112,12748.36
